Date,open,high,low,Close,adj_close,volume_shares
2021-01-04,63.0,70.386665,62.363335,68.919998,66.682274,176850483
2021-01-05,68.666664,73.743332,67.336662,73.300003,70.920067,163591791
2021-01-06,73.239998,74.059998,70.666664,72.099998,69.759026,130395642
2021-01-07,72.199997,76.106667,71.400002,75.013336,72.577766,128580762
2021-01-08,77.666664,78.106667,73.566666,75.836662,73.374359,128027508
2021-01-11,78.196663,81.666664,76.993332,78.286667,75.744827,160276398
2021-01-12,77.266663,79.916664,73.333336,78.996666,76.431763,129937374
2021-01-13,79.333336,83.293335,76.563332,79.766663,77.176758,144104361
2021-01-14,77.333336,78.48333,74.113335,74.650002,72.226242,133786506
2021-01-15,74.0,76.306664,72.166664,75.066666,72.629364,113115138
2021-01-18,73.333336,74.666664,72.086662,73.896667,71.49736,79136799
2021-01-19,74.019997,75.066666,71.186668,72.066666,69.726776,82875039
2021-01-20,73.300003,75.433334,72.669998,74.0,71.597328,114420324
2021-01-21,73.333336,79.866669,72.269997,78.506668,75.95768,175712961
2021-01-22,78.573334,81.220001,77.169998,80.973335,78.344261,127166034
2021-01-25,82.166664,87.650002,81.666664,86.666664,83.85273,167816682
2021-01-26,85.666664,87.529999,83.66333,84.739998,81.988617,118366632
2021-01-27,83.400002,86.480003,78.166664,85.666664,82.885208,156405300
2021-01-28,81.989998,84.166664,80.993332,81.453331,78.80867,97938525
2021-01-29,83.0,83.476669,79.166664,82.333336,79.660103,100794807
2021-02-01,81.666664,83.376663,79.666664,82.296669,79.624634,79138350
2021-02-02,84.0,89.333336,83.5,89.166664,86.271568,141329991
2021-02-03,89.366669,91.123337,86.766663,87.666664,84.820274,115208856
2021-02-04,86.0,88.296669,85.113335,86.633331,83.820488,93105270
2021-02-05,87.333336,89.426666,82.5,83.0,80.305107,144165153
2021-02-08,82.996666,84.326668,80.003334,83.400002,80.692139,111738531
2021-02-09,84.366669,86.339996,82.5,85.666664,82.885208,112486284
2021-02-10,87.0,90.220001,84.333336,88.98333,86.09417,125681613
2021-02-18,89.620003,89.620003,85.110001,86.330002,83.527008,141793674
2021-02-19,84.966667,85.886665,81.910004,85.783333,82.998077,114776106
2021-02-22,85.533333,85.553329,79.816666,79.839996,77.247719,128139279
2021-02-23,76.529999,78.339996,74.300003,75.0,72.564865,142953066
2021-02-24,75.0,76.196663,67.866669,69.66333,67.401474,202945554
2021-02-25,71.923332,71.949997,68.599998,69.75,67.485329,110859666
2021-02-26,65.5,68.0,64.666664,65.756668,63.621655,151084806
2021-03-01,67.0,70.330002,65.833336,70.300003,68.017471,133288053
2021-03-02,71.550003,71.933334,68.40667,70.466667,68.178726,116378505
2021-03-03,68.333336,70.099998,67.323334,69.916664,67.646591,78918540
2021-03-04,68.333336,68.366669,65.766663,66.166664,64.018341,104054973
